"* Required Fields","* Erforderliche Felder"
"-- No Status Change --","-- Keine Statusänderung --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentifikation"
"3D Secure failed","3D Secure ist fehlgeschlagen."
"3D Secure sucess","3D Secure erfolgreich"
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr.</span>"
"A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"A refund announcement has been initiated.","Eine Refund Ankündigung wurde initiiert."
"A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Abort","Abbrechen"
"About","Über"
"Account Holder","Kontoinhaber"
"Account Holder Name","Kontoinhaber"
"Account Holder: !holder","Account Holder: !holder"
"Account Number","Kontonummer"
"Account Number: !number","Account Number: !number"
"Account owner name.","Kontoinhaber"
"Account statement","Kontoauszug"
"Account statement line 1","Kontoauszug Zeile 1"
"Account statement line 2","Kontoauszug Zeile 2"
"Account statement line 3","Kontoauszug Zeile 3"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktiv"
"Activate address checking","Adressüberprüfung aktivieren"
"Activate scoring","Bonitätsprüfung aktivieren"
"Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate."
"Activate the payment method that you want to process transactions with.","Aktivieren Sie die Zahlungsmethode, mit der Sie Transaktionen verarbeiten möchten."
"Active","Aktiv"
"Active (all criteria + boniscore)","Aktiv (alle Kriterien + boniscore)"
"Active (all criteria)","Aktiv (alle Kriterien)"
"Active (hard criteria)","Aktiv (harte Kriterien)"
"Active - Fail when corrections are proposed.","Aktiv - Ablehnen, wenn Verbesserungen vorgeschlagen werden."
"Active - Ignore proposed corrections.","Aktiv - vorgeschlagenen Korrekturen ignorieren"
"Active - Show proposed corrections in backend.","Aktiv - vorgeschlagene Korrekturen im Backend anzeigen"
"Additional Information","Zusätzliche Informationen"
"Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Zusätzlicher Text, der auf der Rechnung angezeigt wird (bei Verwendung von Open Invoice oder bei aktiver Modul-Fakturierung)."
"Address Addition","Adresszusatz"
"Address check executed","Adressüberprüfung durchgeführt"
"Address check maximum","Maximale Anzahl von Adressprüfungen"
"Address check minimum","Minimalwert für die Adressüberprüfung"
"Address check type","Typ der Adressüberprüfung"
"Address check type invalid.","Die Art der Adressüberprüfung ist ungültig."
"Addresses must be equal.","Die Adressen müssen gleich sein"
"Adjust Qty","Anzahl anpassen"
"Adjustment Discount","Korrektur-Ermässigung"
"Adjustment Fee","Bearbeitungsgebühr"
"After payment selection","Nach der Wahl der Zahlungsmethode"
"After selecting payment method","Nach der Wahl der Zahlungsmethode"
"Agreement","Vereinbarung"
"Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Alias","Alias"
"Alias For Display","Beispiel-Alias"
"Alias Manager","Alias Manager"
"Alias manager","Alias manager"
"All Customers","Alle Kunden"
"Allow scoring","Bonitätsprüfung erlauben"
