"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure verification failed"
"3D Secure sucess","3D Secure successfull"
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits.</span>"
"A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"A refund announcement has been initiated.","A refund announcement has been initiated."
"A refund was added over !amount.","A refund was added over !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Abort","Abort"
"About","About"
"Account Holder","Account Holder"
"Account Holder Name","Account holder"
"Account Holder: !holder","Account Holder: !holder"
"Account Number","Account Number"
"Account Number: !number","Account Number: !number"
"Account owner name.","Account holder"
"Account statement","Account statement"
"Account statement line 1","Account statement line 1"
"Account statement line 2","Account statement line 2"
"Account statement line 3","Account statement line 3"
"Action","Action"
"Actions","Actions"
"Activate","Active"
"Activate address checking","Activate address checking"
"Activate scoring","Activate scoring"
"Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and enter the Channel ID in the respective field for every payment method that you activate."
"Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Active","Active"
"Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Active (all criteria)","Active (all criteria)"
"Active (hard criteria)","Active (hard criteria)"
"Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
