"* Required Fields","* campo obbligatorio"
"-- No Status Change --","-- Nessun cambiamento di stato --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallito"
"3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note""> Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>"
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"A refund announcement has been initiated.","A refund announcement has been initiated."
"A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Abort","Abort"
"About","A proposito di"
"Account Holder","Account Holder"
"Account Holder Name","Intestatario del conto"
"Account Holder: !holder","Titolare del conto: !holder"
"Account Number","Account Number"
"Account Number: !number","Numero di conto: !number"
"Account owner name.","Intestatario del conto"
"Account statement","Account statement"
"Account statement line 1","Account statement line 1"
"Account statement line 2","Account statement line 2"
"Account statement line 3","Account statement line 3"
"Action","Azione"
"Actions","Azioni"
"Activate","Activate"
"Activate address checking","Activate address checking"
"Activate scoring","Activate scoring"
"Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Attiva il metodo di pagamento e inserisci l'ID Channel nei rispettivi campi per ogni metodo di pagamento che attivi."
"Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Active","Attivo"
"Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Active (all criteria)","Active (all criteria)"
"Active (hard criteria)","Active (hard criteria)"
"Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Additional Information","Ulteriori informazioni"
"Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Address Addition","Address Addition"
"Address check executed","Address check executed"
"Address check maximum","Address check maximum"
"Address check minimum","Address check minimum"
"Address check type","Address check type"
"Address check type invalid.","Address check type invalid."
"Addresses must be equal.","Addresses must be equal."
"Adjust Qty","Regolare la quantità"
"Adjustment Discount","Regolazione del discount"
"Adjustment Fee","Costi di adeguamento"
"After payment selection","Dopo la scelta del pagamento"
"After selecting payment method","After selecting payment method"
"Agreement","Agreement"
"Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Alias","Alias"
"Alias For Display","Alias da visualizzare"
"Alias Manager","Alias Token"
"Alias manager","Check out con un click (Alias Manager)"
"All Customers","Tutti i clienti"
"Allow scoring","Allow scoring"
"Allowed Currencies","Valute accettate"
"Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Already registered?","Già iscritto?"
"Always Checkout as Guest","Effettua il checkout sempre come ospite"
"American Express","American Express"
"Amount","Importo"
"Amount Incl. Tax","Importo tasse incluse"
"An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
"An unexpected error occurred while capturing the transaction.","An unexpected error occurred while capturing the transaction."
"An unexpected error occurred while refunding the transaction.","An unexpected error occurred while refunding the transaction."
"An unknown error occured while identifying the cause for failure","An unknown error occured while identifying the cause for failure"
"Approved Payment Status","stato del pagamento approvato"
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Austria","Austria (AT)"
"Author","Autore"
"Authorization Amount","Importo autorizzazione"
"Authorization Failed","Autorizzazione non riuscita"
"Authorization Method","Metodo di autorizzazione"
"Authorization is uncertain.","Autorizzazione incerta"
"Authorization method 'Payment Page' does not support alias manager.","Authorization method 'Payment Page' does not support alias manager."
"Authorized Status","Status autorizzato"
"Await Notification","Attendi la notifica"
"Awaiting confirmation","In attesa di conferma"
"BIC","BIC"
"BIC: !bic","BIC: !bic"
"Bad signature format.","Bad signature format."
"Bancontact","Bancontact"
"Bank Code: !bank","Codice Banca: !bank"
"Bank Country: !country","Paese della banca: !country"
"Bank Location","Posizione della banca"
"Bank Name","Nome della banca"
"Bank account number","Numero IBAN"
"Bank code number","Numero del codice bancario"
"Bank data","Bank data"
"Basic","Basic"
"Before payment selection","Prima della selezione del pagamento"
"Before showing payment method","Before showing payment method"
"Belgium","Belgio (BE)"
"Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Accanto al channel id standard si possono indicare una serie di channel id a seconda della somma totale dell'ordine. Ogni riga deve contenere un importo inferiore, un importo superiore e il channel id applicabile. Il formato deve essere 'importo inferiore; importo superiore; channel id'. L'esempio seguente si visualizza: '10.00;200.00;23413113213131231353' I confini superiori non sono inclusi. Se si lascia vuoto questo campo, o se un'importo é fuori di ogni intervallo viene applicata il channel id predefinito. Se più condizioni corrispondono, l'ultima sarà presa."
"BillSAFE","BillSAFE"
"BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (supports Payment Page and Hidden Authorization)"
"Billing Address","Billing Address"
"Billing Information","Dati di fatturazione"
"Billing address","indirizzo di fatturazione"
"Boni score result","Boni score result"
"Brand","Brand"
"Brand Code","Brand Code"
"Brand Name","Brand Name"
"Buy","Buy"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"COPYandPAY Style","COPYandPAY Style"
"CVC Code","Codice CVC"
"CVC:","CVC:"
"Cache Timeout","Cache Timeout"
"Cancel","Interrompere"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Cancel status","Status di cancellazione"
"Canceled OPPCw","____ModuleCamel___ annullato"
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Cancellation is not supported by this transaction.","Cancellation is not supported by this transaction."
"Cancelled Status","Status annullato"
"Cannot redirect from a deferred capture","Cannot redirect from a deferred capture"
"Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Capture (Don't Close)","Registrazione (Non chiudere)"
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Importo contabilizzato"
"Capture information","Informazione della contabilizzazione"
"Capture status","Status di registrazione"
"Captured Amount","Importo riconosciuto"
"Captured Status","Status registrato"
"Captures","Acquisizione"
"Captures & Refunds","Registrazioni & Rimborsi"
"Capturing","Contabilizzare"
"Card","Card"
"Card Brand","Card Brand"
"Card CVC/2","Card CVC/2"
"Card Expiration","Carta di data di scadenza"
"Card Expiry","Data di scadenza della carta"
"Card Holder Name","Titolari di carte"
"Card Number","Numero di carta"
"Card Type","Tipo di scheda"
"Card to use","Card to use"
"Cardnumber:","Cardnumber:"
"Cardtype:","Cardtype:"
"Carrier Title","Titolo del trasportatore"
"Carte Bleue","Carte Bleue"
"Channel Conditions","Condizioni di canale"
"Channel ID","Channel ID"
"Channel ID (MoTo)","Channel ID (MoTo)"
"Channel ID (No 3D secure)","Channel ID (senza 3D secure)"
"Check out faster","Effettua il checkout più velocemente"
"Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Checkout","Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione"
"City","City"
"Classes","Classes"
"Color","Color"
"Company Commercial Number","Numero commerciale dell'azienda"
"Company VAT Number","Company VAT Number"
"Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>.","Configure the payment portals in the section Configuration > Payment Portals in the backend of Open Payment Platform according to the manual: <a href='!url'>!url</a>."
"Confirm Mandate","Confirm Mandate"
"Confirm Password","Conferma la password"
"Connector Test Mode","Connector Modalità Test"
"Connector Transaction ID","Connector Transaction ID"
"Consumer score type invalid.","Consumer score type invalid."
"Continue","Continua"
"Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter.","Copy the Portal ID, Secret Key, Merchant ID and Sub Account ID from the Back office too the main module. You find this information under Configuration > Payment Portals in the tab API Parameter."
"Copy the shown encryption key into the configuration.","Copy the shown encryption key into the configuration."
"Could not add proposed address changes.","Could not add proposed address changes."
"Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Could not execute scheduled update.","Could not execute scheduled update."
"Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Could not find an adapter for the authoriztion method !methodName.","Impossibile trovare un adattatore per il metodo di autorizzazione !methodName."
"Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Country","Country"
"Country Restriction","Country Restriction"
"Create Account","Crea un account"
"Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Creation Date","Data di creazione"
"Credit Card Brands","Credit Card Brands"
"Credit Card Number","Credit Card Number"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank.","Creditor identifier: !CREDITOR_ID<br/> Mandate reference!CUSTOMER_ID: !MANDATE_REFERENCE<br/> Date: !DATE<br/> Customer: !CUSTOMER<br/> <br/> By signing this mandate form, you authorise (A) !MERCHANT_NAME to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instruction from !MERCHANT_NAME. <br/> As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited. Your rights are explained in a statement that you can obtain from your bank."
"Creditworthiness was denied.","Creditworthiness was denied."
"Currency","Valuta"
"Current Configuration Scope:","Attuale ambito di configurazione:"
"Custom CSS Url","CSS URL Personalizzato"
"Custom Cancel Button","Tasto annulla Personalizzato"
"Custom JS Url","JS URL Personalizzato"
"Custom Parameters","Custom Parameters"
"Custom Pay Button","Pay Button Personalizzato"
"Customer Account","Account cliente"
"Customer Alias Management","Gestione dell'Alias del cliente"
"Customer Date of Birth","Customer Date of Birth"
"Customer Gender","Customer Gender"
"Customer Phone Number","Customer Phone Number"
"Customer successfully returned from OPPCw","Il cliente é tornato con successo da OPPCw."
"Customer successfully returned from Open Payment Platform","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customer sucessfully returned from the OPPCw payment page.","Customer sucessfully returned from the OPPCw payment page."
"Customers","Clienti"
"Customweb","Customweb"
"Czech Republic","Czech Republic"
"Dankort","Dankort"
"Date","Data"
"Date of Birth","Data di nascita"
"Date of birth must be provided.","Date of birth must be provided."
"Day","Giorno"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Debtor ID","Debtor ID"
"Decline Message","Decline Message"
"Declined by test data.","Declined by test data."
"Default Config","Configurazione predefinita"
"Deferred","Ritardato"
"Deferred (authorization)","Deferred (authorization)"
"Deferred capturing","Registrazione ritardata"
"Deferred settlement","Creazione ritardata"
"Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Define the height of the iframe element (only has an effect if iframe authorization is selected).","éDefinire l'altezza dell'elemento iframe (ha effetto solo se é selezionata l'autorizzazione iframe)."
"Define the payment methods, the customer can choose from. List them separated by a space.","Define the payment methods, the customer can choose from. List them separated by a space."
"Define the style to be used for the COPYandPAY payment form.","Define the style to be used for the COPYandPAY payment form."
"Delayed","Ritardato"
"Delete","Cancellare"
