"Customweb_OPPCw::* Required Fields","* Erforderliche Felder"
"Customweb_OPPCw::-- No Status Change --","-- Keine Statusänderung --"
"Customweb_OPPCw::3D Secure","3D Secure"
"Customweb_OPPCw::3D Secure Authentication","3D Secure Authentifikation"
"Customweb_OPPCw::3D Secure failed","3D Secure ist fehlgeschlagen."
"Customweb_OPPCw::3D Secure sucess","3D Secure erfolgreich"
"Customweb_OPPCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr.</span>"
"Customweb_OPPCw::A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"Customweb_OPPCw::A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_OPPCw::A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"Customweb_OPPCw::A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"Customweb_OPPCw::A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"Customweb_OPPCw::A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_OPPCw::A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"Customweb_OPPCw::A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"Customweb_OPPCw::A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"Customweb_OPPCw::A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_OPPCw::A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"Customweb_OPPCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"Customweb_OPPCw::A refund announcement has been initiated.","Eine Refund Ankündigung wurde initiiert."
"Customweb_OPPCw::A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"Customweb_OPPCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_OPPCw::Abort","Abbrechen"
"Customweb_OPPCw::About","Über"
"Customweb_OPPCw::Account Holder","Kontoinhaber"
"Customweb_OPPCw::Account Holder Name","Kontoinhaber"
"Customweb_OPPCw::Account Holder: !holder","Account Holder: !holder"
"Customweb_OPPCw::Account Number","Kontonummer"
"Customweb_OPPCw::Account Number: !number","Account Number: !number"
"Customweb_OPPCw::Account owner name.","Kontoinhaber"
"Customweb_OPPCw::Account statement","Kontoauszug"
"Customweb_OPPCw::Account statement line 1","Kontoauszug Zeile 1"
"Customweb_OPPCw::Account statement line 2","Kontoauszug Zeile 2"
"Customweb_OPPCw::Account statement line 3","Kontoauszug Zeile 3"
"Customweb_OPPCw::Action","Aktion"
"Customweb_OPPCw::Actions","Aktionen"
"Customweb_OPPCw::Activate","Aktiv"
"Customweb_OPPCw::Activate address checking","Adressüberprüfung aktivieren"
"Customweb_OPPCw::Activate scoring","Bonitätsprüfung aktivieren"
"Customweb_OPPCw::Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate."
"Customweb_OPPCw::Activate the payment method that you want to process transactions with.","Aktivieren Sie die Zahlungsmethode, mit der Sie Transaktionen verarbeiten möchten."
"Customweb_OPPCw::Active","Aktiv"
"Customweb_OPPCw::Active (all criteria + boniscore)","Aktiv (alle Kriterien + boniscore)"
"Customweb_OPPCw::Active (all criteria)","Aktiv (alle Kriterien)"
"Customweb_OPPCw::Active (hard criteria)","Aktiv (harte Kriterien)"
"Customweb_OPPCw::Active - Fail when corrections are proposed.","Aktiv - Ablehnen, wenn Verbesserungen vorgeschlagen werden."
"Customweb_OPPCw::Active - Ignore proposed corrections.","Aktiv - vorgeschlagenen Korrekturen ignorieren"
"Customweb_OPPCw::Active - Show proposed corrections in backend.","Aktiv - vorgeschlagene Korrekturen im Backend anzeigen"
"Customweb_OPPCw::Additional Information","Zusätzliche Informationen"
"Customweb_OPPCw::Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Zusätzlicher Text, der auf der Rechnung angezeigt wird (bei Verwendung von Open Invoice oder bei aktiver Modul-Fakturierung)."
"Customweb_OPPCw::Address Addition","Adresszusatz"
"Customweb_OPPCw::Address check executed","Adressüberprüfung durchgeführt"
"Customweb_OPPCw::Address check maximum","Maximale Anzahl von Adressprüfungen"
"Customweb_OPPCw::Address check minimum","Minimalwert für die Adressüberprüfung"
"Customweb_OPPCw::Address check type","Typ der Adressüberprüfung"
"Customweb_OPPCw::Address check type invalid.","Die Art der Adressüberprüfung ist ungültig."
"Customweb_OPPCw::Addresses must be equal.","Die Adressen müssen gleich sein"
"Customweb_OPPCw::Adjust Qty","Anzahl anpassen"
"Customweb_OPPCw::Adjustment Discount","Korrektur-Ermässigung"
"Customweb_OPPCw::Adjustment Fee","Bearbeitungsgebühr"
"Customweb_OPPCw::After payment selection","Nach der Wahl der Zahlungsmethode"
"Customweb_OPPCw::After selecting payment method","Nach der Wahl der Zahlungsmethode"
"Customweb_OPPCw::Agreement","Vereinbarung"
"Customweb_OPPCw::Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Customweb_OPPCw::Alias","Alias"
"Customweb_OPPCw::Alias For Display","Beispiel-Alias"
"Customweb_OPPCw::Alias Manager","Alias Manager"
"Customweb_OPPCw::Alias manager","Alias manager"
"Customweb_OPPCw::All Customers","Alle Kunden"
"Customweb_OPPCw::Allow scoring","Bonitätsprüfung erlauben"
"Customweb_OPPCw::Allowed Currencies","Erlaubte Währungen"
"Customweb_OPPCw::Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Customweb_OPPCw::Already registered?","Bereits registriert?"
"Customweb_OPPCw::Always Checkout as Guest","Immer als Gast auschecken"
"Customweb_OPPCw::American Express","American Express"
"Customweb_OPPCw::Amount","Betrag"
"Customweb_OPPCw::Amount Incl. Tax","Betrag inkl. Steuern"
"Customweb_OPPCw::An unexpected error occurred while cancelling the transaction.","Während des Transaktionsabbruchs ist ein unerwarteter Fehler aufgetreten."
"Customweb_OPPCw::An unexpected error occurred while capturing the transaction.","Während der Verbuchung ist ein unerwarteter Fehler aufgetreten."
"Customweb_OPPCw::An unexpected error occurred while refunding the transaction.","Während der Rückerstattung ist ein unbekannter Fehler ist aufgetreten."
"Customweb_OPPCw::An unknown error occured while identifying the cause for failure","Ein unerwarteter Fehler ist aufgetreten, während der Grund für den Fehler identifiziert wurde."
"Customweb_OPPCw::Approved Payment Status","Approved Payment Status"
"Customweb_OPPCw::Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Customweb_OPPCw::Austria","Austria"
"Customweb_OPPCw::Author","Autor"
"Customweb_OPPCw::Authorization Amount","Autorisierungsbetrag"
"Customweb_OPPCw::Authorization Failed","Autorisierung fehlgeschlagen"
"Customweb_OPPCw::Authorization Method","Autorisierungsmethode"
"Customweb_OPPCw::Authorization is uncertain.","Autorisierung ist unsicher"
"Customweb_OPPCw::Authorization method 'Payment Page' does not support alias manager.","Die Autorisierungsmethode 'Payment Page' unterstützt den Alias Manager nicht."
"Customweb_OPPCw::Authorized Status","Autorisationsstatus"
"Customweb_OPPCw::Await Notification","Benachrichtigung abwarten"
"Customweb_OPPCw::Awaiting confirmation","Warten auf die Bestätigung"
"Customweb_OPPCw::BIC","BIC"
"Customweb_OPPCw::BIC: !bic","BIC: !bic"
"Customweb_OPPCw::Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Customweb_OPPCw::Bancontact","Bancontact"
"Customweb_OPPCw::Bank Code: !bank","Bank Code: !bank"
"Customweb_OPPCw::Bank Country: !country","Bank Country: !country"
"Customweb_OPPCw::Bank Location","Bank Standort"
"Customweb_OPPCw::Bank Name","Name der Bank"
"Customweb_OPPCw::Bank account number","Bankkonto"
"Customweb_OPPCw::Bank code number","Bankcodenummer"
"Customweb_OPPCw::Bank data","Bankdaten"
"Customweb_OPPCw::Basic","Basic"
"Customweb_OPPCw::Before payment selection","Vor der Wahl der Zahlungsmethode"
"Customweb_OPPCw::Before showing payment method","Vor der Anzeige der Zahlungarten"
"Customweb_OPPCw::Belgium","Belgium"
"Customweb_OPPCw::Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken.","Beside the default channel id a set of channel ids depending on the order total amount can be defined. Each line must contain a lower amount, an upper amount and the applicable channel id. The format is as follow 'lower amount;upper amount;channel id'. The following example shows a conrete on: '10.00;200.00;23413113213131231353' The upper boundaries are not included. If you leave this field empty or if a amount is outside any range the default channel id is applied. If multiple conditions match, the last one is taken."
"Customweb_OPPCw::BillSAFE","BillSAFE"
"Customweb_OPPCw::BillSAFE (supports Payment Page and Hidden Authorization)","BillSAFE (unterstützt Payment Page und Hidden Authorization)"
"Customweb_OPPCw::Billing Address","Rechnungsadresse"
"Customweb_OPPCw::Billing Information","Rechnungsinformationen"
"Customweb_OPPCw::Billing address","Billing address"
"Customweb_OPPCw::Boni score result","Ergebnis der Bonitätsüberprüfung"
"Customweb_OPPCw::Brand","Marke"
"Customweb_OPPCw::Brand Code","Brand Code"
"Customweb_OPPCw::Brand Name","Markenname"
"Customweb_OPPCw::Buy","Kaufen"
"Customweb_OPPCw::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"Customweb_OPPCw::COPYandPAY Style","COPYandPAY Style"
"Customweb_OPPCw::CVC Code","CVC Code"
