"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::-- No Status Change --","-- No Status Change --"
"Customweb_OPPCw::3D Secure","3D Secure"
"Customweb_OPPCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_OPPCw::3D Secure failed","3D Secure verification failed"
"Customweb_OPPCw::3D Secure sucess","3D Secure successfull"
"Customweb_OPPCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month in two digits and 'YY' the year in two digits.</span>"
"Customweb_OPPCw::A authorized transaction cannot be authorized again.","An authorised transaction cannot be authorised again."
"Customweb_OPPCw::A authorized transaction cannot be marked as failed.","An authorised transaction cannot be marked as failed."
"Customweb_OPPCw::A cancelled transaction cannot be authorized.","A cancelled transaction cannot be authorised."
"Customweb_OPPCw::A cancelled transaction cannot be cancelled again.","A cancelled transaction cannot be cancelled again."
"Customweb_OPPCw::A cancelled transaction cannot be captured.","A cancelled transaction cannot be captured"
"Customweb_OPPCw::A cancelled transaction cannot be marked as failed.","A cancelled transaction cannot be marked as failed."
"Customweb_OPPCw::A cancelled transaction cannot be refunded.","A cancelled transaction cannot be refunded"
"Customweb_OPPCw::A captured transaction cannot be authorized.","A captured transaction cannot be authorised."
"Customweb_OPPCw::A captured transaction cannot be cancelled.","A captured transaction cannot be cancelled."
"Customweb_OPPCw::A captured transaction cannot be marked as failed.","A captured transaction cannot be marked as failed."
"Customweb_OPPCw::A failed authorization cannot be authorized.","A failed authorisation cannot be authorised."
"Customweb_OPPCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Some payment methods are not be available for customers from certain counties. You can decide at what instant this availability check should happen. We recommend setting it to 'during authorisation'."
"Customweb_OPPCw::A refund announcement has been initiated.","A refund announcement has been initiated."
"Customweb_OPPCw::A refund was added over !amount.","A refund was added over !amount."
"Customweb_OPPCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","A transaction may be uncertain, when the payment is not guaranteed. For example in the case that the credit card does not participate in the 3D Secure procedure."
"Customweb_OPPCw::Abort","Abort"
"Customweb_OPPCw::About","About"
"Customweb_OPPCw::Account Holder","Account Holder"
"Customweb_OPPCw::Account Holder Name","Account holder"
"Customweb_OPPCw::Account Holder: !holder","Account Holder: !holder"
"Customweb_OPPCw::Account Number","Account Number"
"Customweb_OPPCw::Account Number: !number","Account Number: !number"
"Customweb_OPPCw::Account owner name.","Account holder"
"Customweb_OPPCw::Account statement","Account statement"
"Customweb_OPPCw::Account statement line 1","Account statement line 1"
"Customweb_OPPCw::Account statement line 2","Account statement line 2"
"Customweb_OPPCw::Account statement line 3","Account statement line 3"
"Customweb_OPPCw::Action","Action"
"Customweb_OPPCw::Actions","Actions"
"Customweb_OPPCw::Activate","Active"
"Customweb_OPPCw::Activate address checking","Activate address checking"
"Customweb_OPPCw::Activate scoring","Activate scoring"
"Customweb_OPPCw::Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and enter the Channel ID in the respective field for every payment method that you activate."
"Customweb_OPPCw::Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Customweb_OPPCw::Active","Active"
"Customweb_OPPCw::Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Customweb_OPPCw::Active (all criteria)","Active (all criteria)"
"Customweb_OPPCw::Active (hard criteria)","Active (hard criteria)"
"Customweb_OPPCw::Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Customweb_OPPCw::Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Customweb_OPPCw::Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Customweb_OPPCw::Additional Information","Additional Information"
"Customweb_OPPCw::Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Customweb_OPPCw::Address Addition","Address Addition"
"Customweb_OPPCw::Address check executed","Address check executed"
"Customweb_OPPCw::Address check maximum","Address check maximum"
"Customweb_OPPCw::Address check minimum","Address check minimum"
"Customweb_OPPCw::Address check type","Address check type"
"Customweb_OPPCw::Address check type invalid.","Address check type invalid."
"Customweb_OPPCw::Addresses must be equal.","Addresses must be equal."
"Customweb_OPPCw::Adjust Qty","Adjust Quantity"
"Customweb_OPPCw::Adjustment Discount","Adjustment Discount"
"Customweb_OPPCw::Adjustment Fee","Adjustment Fee"
"Customweb_OPPCw::After payment selection","After payment method selection"
"Customweb_OPPCw::After selecting payment method","After selecting payment method"
"Customweb_OPPCw::Agreement","Agreement"
"Customweb_OPPCw::Ajax authorization not supported.","Ajax authorization not supported"
"Customweb_OPPCw::Alias","Alias"
"Customweb_OPPCw::Alias For Display","Alias For Display"
"Customweb_OPPCw::Alias Manager","Alias Manager"
"Customweb_OPPCw::Alias manager","One-Click Checkout (Alias Manager)"
"Customweb_OPPCw::All Customers","All Customers"
"Customweb_OPPCw::Allow scoring","Allow scoring"
"Customweb_OPPCw::Allowed Currencies","Allowed currencies"
"Customweb_OPPCw::Allowed currencies for this payment method","Permitted currencies for this payment method"
"Customweb_OPPCw::Already registered?","Already registered?"
"Customweb_OPPCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_OPPCw::American Express","American Express"
"Customweb_OPPCw::Amount","Amount"
"Customweb_OPPCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_OPPCw::An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
"Customweb_OPPCw::An unexpected error occurred while capturing the transaction.","An unexpected error occurred while capturing the transaction."
"Customweb_OPPCw::An unexpected error occurred while refunding the transaction.","An unexpected error occurred while refunding the transaction."
"Customweb_OPPCw::An unknown error occured while identifying the cause for failure","An unknown error occured while identifying the cause for failure"
"Customweb_OPPCw::Approved Payment Status","Approved payment Status"
"Customweb_OPPCw::Are you sure you want to cancel this order?","Are you sure you want to cancel this order?"
