"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::-- No Status Change --","-- No Status Change --"
"Customweb_OPPCw::3D Secure","3D Secure con éxito"
"Customweb_OPPCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_OPPCw::3D Secure failed","3D Secure fallado"
"Customweb_OPPCw::3D Secure sucess","3D Secure con éxito"
"Customweb_OPPCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">El formato esperado es '!format' donde el 'MM' significa el número del mes y 'YY' el número de años.</span>"
"Customweb_OPPCw::A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"Customweb_OPPCw::A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"Customweb_OPPCw::A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"Customweb_OPPCw::A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"Customweb_OPPCw::A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"Customweb_OPPCw::A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"Customweb_OPPCw::A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"Customweb_OPPCw::A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"Customweb_OPPCw::A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"Customweb_OPPCw::A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"Customweb_OPPCw::A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"Customweb_OPPCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"Customweb_OPPCw::A refund announcement has been initiated.","A refund announcement has been initiated."
"Customweb_OPPCw::A refund was added over !amount.","Un reembolso se añadió durante  !amount."
