"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::-- No Status Change --","-- Nessun cambiamento di stato --"
"Customweb_OPPCw::3D Secure","3D Secure"
"Customweb_OPPCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_OPPCw::3D Secure failed","3D Secure fallito"
"Customweb_OPPCw::3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"Customweb_OPPCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note""> Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>"
"Customweb_OPPCw::A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"Customweb_OPPCw::A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"Customweb_OPPCw::A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"Customweb_OPPCw::A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"Customweb_OPPCw::A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"Customweb_OPPCw::A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"Customweb_OPPCw::A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"Customweb_OPPCw::A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"Customweb_OPPCw::A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"Customweb_OPPCw::A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"Customweb_OPPCw::A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"Customweb_OPPCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"Customweb_OPPCw::A refund announcement has been initiated.","A refund announcement has been initiated."
"Customweb_OPPCw::A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"Customweb_OPPCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"Customweb_OPPCw::Abort","Abort"
"Customweb_OPPCw::About","A proposito di"
"Customweb_OPPCw::Account Holder","Account Holder"
"Customweb_OPPCw::Account Holder Name","Intestatario del conto"
"Customweb_OPPCw::Account Holder: !holder","Titolare del conto: !holder"
"Customweb_OPPCw::Account Number","Account Number"
"Customweb_OPPCw::Account Number: !number","Numero di conto: !number"
"Customweb_OPPCw::Account owner name.","Intestatario del conto"
"Customweb_OPPCw::Account statement","Account statement"
