"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::-- No Status Change --","-- No Status Change --"
"Customweb_OPPCw::3D Secure","3D Secure"
"Customweb_OPPCw::3D Secure Authentication","3D Secure Authentication"
"Customweb_OPPCw::3D Secure failed","3D Secure mislukt"
"Customweb_OPPCw::3D Secure sucess","3D Secure succes"
"Customweb_OPPCw::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">De verwachte formaat is '!format' waar de 'MM' is de maand nummer en 'YY' het jaartal.</span>"
"Customweb_OPPCw::A authorized transaction cannot be authorized again.","Een geautoriseerde transactie kan niet worden weer geautoriseerd."
"Customweb_OPPCw::A authorized transaction cannot be marked as failed.","Een geautoriseerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_OPPCw::A cancelled transaction cannot be authorized.","Een geannuleerde transactie kan niet worden geautoriseerd."
"Customweb_OPPCw::A cancelled transaction cannot be cancelled again.","Een geannuleerde transactie kan niet worden weer geannuleerd."
"Customweb_OPPCw::A cancelled transaction cannot be captured.","Een geannuleerde transactie kan niet worden weer opgenomen."
"Customweb_OPPCw::A cancelled transaction cannot be marked as failed.","Een geannuleerde transactie kan niet worden gemarkeerd als mislukt."
"Customweb_OPPCw::A cancelled transaction cannot be refunded.","Een geannuleerde transactie kan niet worden bijgeschreven."
"Customweb_OPPCw::A captured transaction cannot be authorized.","Een opgenomen transactie kan niet worden geautoriseerd."
"Customweb_OPPCw::A captured transaction cannot be cancelled.","Een opgenomen transactie kan niet worden geannuleerd."
"Customweb_OPPCw::A captured transaction cannot be marked as failed.","Een opgenomen transactie kan niet worden gemarkeerd als mislukt."
"Customweb_OPPCw::A failed authorization cannot be authorized.","Een mislukte autorisatie kan niet worden geautoriseerd."
"Customweb_OPPCw::A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Sommige betaalmethoden zijn niet beschikbaar voor bepaalde landen. U kunt de tijd waarop de beschikbaarheid cheque te voeren taken. Wij adviseren om op 'Tijdens de autorisatie'."
"Customweb_OPPCw::A refund announcement has been initiated.","A refund announcement has been initiated."
"Customweb_OPPCw::A refund was added over !amount.","Een terugbetaling van !amount werd toegevoegd."
"Customweb_OPPCw::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Een transactie kan onveilig zijn als de betaling niet is gegarandeerd. Bijvoorbeeld, als de credit card niet tot het 3D Secure proces."
"Customweb_OPPCw::Abort","Abort"
"Customweb_OPPCw::About","About"
"Customweb_OPPCw::Account Holder","Account Holder"
"Customweb_OPPCw::Account Holder Name","Naam rekeninghouder"
"Customweb_OPPCw::Account Holder: !holder","Rekeninghouder: !holder"
"Customweb_OPPCw::Account Number","Account Number"
"Customweb_OPPCw::Account Number: !number","Rekeningnummer: !number"
"Customweb_OPPCw::Account owner name.","Rekeninghouder naam"
"Customweb_OPPCw::Account statement","Account statement"
"Customweb_OPPCw::Account statement line 1","Account statement line 1"
"Customweb_OPPCw::Account statement line 2","Account statement line 2"
"Customweb_OPPCw::Account statement line 3","Account statement line 3"
"Customweb_OPPCw::Action","Actie"
"Customweb_OPPCw::Actions","Actions"
"Customweb_OPPCw::Activate","Activate"
"Customweb_OPPCw::Activate address checking","Activate address checking"
"Customweb_OPPCw::Activate scoring","Activate scoring"
"Customweb_OPPCw::Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate.","Activate the payment method and Enter the Channel ID in the respective field for every payment method that you activate."
"Customweb_OPPCw::Activate the payment method that you want to process transactions with.","Activate the payment method that you want to process transactions with."
"Customweb_OPPCw::Active","Actief"
"Customweb_OPPCw::Active (all criteria + boniscore)","Active (all criteria + boniscore)"
"Customweb_OPPCw::Active (all criteria)","Active (all criteria)"
"Customweb_OPPCw::Active (hard criteria)","Active (hard criteria)"
"Customweb_OPPCw::Active - Fail when corrections are proposed.","Active - Fail when corrections are proposed."
"Customweb_OPPCw::Active - Ignore proposed corrections.","Active - Ignore proposed corrections."
"Customweb_OPPCw::Active - Show proposed corrections in backend.","Active - Show proposed corrections in backend."
"Customweb_OPPCw::Additional Information","Additional Information"
"Customweb_OPPCw::Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing).","Additional text which is displayed on the invoice (if using Open Invoice, or with active Module Invoicing)."
"Customweb_OPPCw::Address Addition","Address Addition"
"Customweb_OPPCw::Address check executed","Address check executed"
"Customweb_OPPCw::Address check maximum","Address check maximum"
"Customweb_OPPCw::Address check minimum","Address check minimum"
"Customweb_OPPCw::Address check type","Address check type"
"Customweb_OPPCw::Address check type invalid.","Address check type invalid."
"Customweb_OPPCw::Addresses must be equal.","Addresses must be equal."
"Customweb_OPPCw::Adjust Qty","Pas de hoeveelheid"
"Customweb_OPPCw::Adjustment Discount","Adjustment Discount"
"Customweb_OPPCw::Adjustment Fee","Adjustment Fee"
"Customweb_OPPCw::After payment selection","Na het selecteren van de betaalmethode"
"Customweb_OPPCw::After selecting payment method","After selecting payment method"
"Customweb_OPPCw::Agreement","Agreement"
"Customweb_OPPCw::Ajax authorization not supported.","Ajax machtiging wordt niet ondersteund."
"Customweb_OPPCw::Alias","Alias"
"Customweb_OPPCw::Alias For Display","Alias ​​voor Beeldscherm"
"Customweb_OPPCw::Alias Manager","Alias Manager"
"Customweb_OPPCw::Alias manager","Alias manager"
"Customweb_OPPCw::All Customers","All Customers"
"Customweb_OPPCw::Allow scoring","Allow scoring"
"Customweb_OPPCw::Allowed Currencies","Allowed Currencies"
"Customweb_OPPCw::Allowed currencies for this payment method","Toegestane valuta voor deze betaalmethode"
"Customweb_OPPCw::Already registered?","Already registered?"
"Customweb_OPPCw::Always Checkout as Guest","Always Checkout as Guest"
"Customweb_OPPCw::American Express","American Express"
"Customweb_OPPCw::Amount","Bedrag"
"Customweb_OPPCw::Amount Incl. Tax","Amount Incl. Tax"
"Customweb_OPPCw::An unexpected error occurred while cancelling the transaction.","An unexpected error occurred while cancelling the transaction."
